ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.65,150.74,280.16,0.39,26.75,151.22,0.13,2.48,0.03,1.0
7.84,447.49,669.33,2.72,0.43,444.92,0.27,37.36,0.03,1.0
7.08,112.1,85.98,2.31,30.93,72.56,0.42,15.1,0.47,1.0
8.33,10.0,10.0,2.06,57.76,5.0,1.57,16.24,0.39,1.0
7.76,136.63,161.62,0.67,65.43,128.37,0.25,0.58,0.04,1.0
6.65,136.76,290.88,1.64,9.2,155.74,1.11,30.81,0.13,1.0
8.89,320.86,348.67,1.38,82.22,196.74,0.06,,1.32,1.0
7.61,116.4,251.75,1.48,2.35,166.37,1.07,27.63,0.42,1.0
7.42,273.55,370.41,2.23,67.52,241.27,1.58,36.86,0.29,1.0
6.72,72.0,49.69,2.71,63.48,17.97,0.93,22.44,0.14,1.0
8.34,369.06,588.75,2.29,12.63,398.88,0.22,31.12,0.07,1.0
7.81,136.61,283.57,2.19,7.87,194.94,0.4,44.56,0.26,1.0
7.9,306.51,523.46,2.11,65.29,357.41,1.64,21.0,1.28,1.0
6.99,113.45,368.55,1.83,27.6,237.09,0.57,21.86,0.02,1.0
8.07,246.03,391.35,1.17,42.38,266.43,0.29,45.15,2.35,1.0
8.13,265.85,413.95,2.05,77.49,260.16,2.7,33.96,0.12,1.0
6.86,240.4,389.54,2.75,69.17,294.28,1.01,38.63,0.26,1.0
6.27,108.46,428.54,1.88,13.36,262.3,1.64,23.5,0.02,1.0
7.87,276.22,565.83,1.08,47.86,409.9,0.02,19.93,0.44,1.0
6.14,166.18,339.3,0.8,12.61,221.25,0.41,18.91,0.33,1.0
7.52,279.66,441.8,1.05,84.8,259.66,0.61,,0.55,1.0
7.04,183.7,282.05,0.86,111.46,210.7,0.89,,0.39,1.0
8.37,344.3,588.02,4.89,16.2,384.73,0.21,63.39,0.25,
7.09,130.6,164.72,1.12,48.75,124.09,0.69,15.3,0.67,1.0
8.29,344.8,660.19,1.96,86.7,453.6,1.16,30.18,0.01,1.0
6.99,205.69,291.97,1.91,50.97,196.54,0.42,11.66,0.39,1.0
8.2,32.04,13.84,3.41,72.46,5.0,1.18,49.15,0.06,1.0
9.05,214.25,325.62,2.43,52.06,231.17,0.49,35.72,0.29,
6.55,89.17,163.79,2.42,7.73,106.48,0.63,27.87,0.78,1.0
7.63,372.41,468.13,2.17,54.76,318.0,0.14,27.27,0.08,1.0
9.6,126.34,169.48,2.28,95.09,67.08,1.05,26.86,1.37,
7.45,78.04,210.76,2.32,62.57,145.94,0.25,39.48,1.1,1.0
7.45,18.42,10.0,1.37,114.95,5.0,1.77,20.66,0.27,1.0
8.03,163.35,209.54,1.08,,169.27,0.81,4.82,,1.0
7.43,10.0,10.0,2.06,65.16,18.96,0.82,40.43,0.78,1.0
6.03,60.46,10.0,1.46,24.08,11.3,2.44,8.27,1.06,1.0
8.31,290.35,452.08,2.18,14.97,303.58,0.18,15.64,0.1,1.0
5.8,157.17,457.16,0.92,103.38,277.19,0.76,11.36,1.24,
7.07,246.04,385.09,0.53,39.8,282.77,0.48,5.39,1.23,1.0
8.37,43.66,106.6,0.72,35.94,109.12,3.39,11.54,0.32,1.0
7.11,201.13,290.46,1.93,63.74,196.66,1.57,17.08,0.8,1.0
6.85,226.78,299.28,0.38,,226.34,1.42,14.7,0.29,1.0
8.1,50.75,68.33,3.95,104.19,33.03,0.23,76.39,0.42,1.0
6.72,443.67,600.68,3.95,126.18,374.5,0.27,59.07,0.19,1.0
6.42,276.35,475.47,2.89,86.6,309.88,0.03,46.44,0.09,1.0
7.62,184.73,255.81,1.63,66.48,174.97,1.02,3.31,0.69,1.0
7.25,223.47,305.38,1.52,41.34,190.62,0.46,18.4,,1.0
6.41,200.14,341.68,2.3,6.99,232.85,0.37,27.49,0.43,1.0
7.91,44.94,10.0,2.6,97.76,12.63,1.01,30.37,15.8,
7.77,120.61,250.56,2.3,86.65,142.9,1.76,27.87,9.01,
7.11,77.03,163.6,0.69,68.0,116.72,0.14,4.77,0.2,1.0
7.17,10.0,99.68,1.81,63.35,82.06,2.51,12.6,17.71,
7.78,158.34,243.78,2.53,62.02,161.89,0.03,33.13,0.14,1.0
8.35,411.98,659.54,,28.96,451.75,0.1,,0.94,1.0
7.17,315.86,428.17,0.89,150.05,253.96,1.82,21.3,0.23,1.0
7.92,151.02,185.76,2.53,38.58,130.11,0.68,41.19,0.44,1.0
7.85,234.47,414.52,1.69,32.93,246.03,2.8,28.63,0.13,1.0
8.1,289.01,579.87,1.69,94.82,354.63,0.62,35.1,0.02,1.0
7.43,312.6,484.93,3.11,48.83,302.58,2.61,38.36,7.14,
6.67,242.69,311.93,1.95,49.24,183.91,0.27,31.89,0.02,1.0
7.03,140.13,170.61,1.53,106.58,99.94,0.96,33.6,0.32,1.0
4.98,318.01,439.64,1.69,77.14,281.49,5.2,16.41,0.44,
8.85,216.62,378.7,1.72,79.18,262.9,0.47,5.57,0.02,1.0
7.01,264.09,479.04,1.17,,304.95,,10.57,0.05,1.0
8.04,219.38,427.03,1.78,66.02,245.86,0.07,36.23,0.33,1.0
7.14,303.15,509.91,0.86,9.78,354.24,1.96,3.37,10.25,
7.49,111.84,192.95,1.67,31.8,108.68,0.68,20.35,10.2,
8.61,348.42,563.48,1.48,57.03,365.09,0.77,14.46,0.06,1.0
8.01,197.25,339.52,2.23,48.55,229.62,1.61,31.57,1.09,1.0
6.41,422.35,715.05,3.51,76.17,468.78,1.67,42.23,1.25,1.0
6.94,58.46,162.16,2.26,80.83,127.29,0.65,19.06,0.2,1.0
4.8,435.4,647.19,2.1,83.83,430.26,1.95,27.14,0.48,
7.51,207.58,339.58,2.23,,203.5,0.63,30.8,0.34,1.0
5.22,93.11,169.72,1.14,144.51,153.89,1.12,28.22,1.42,
6.74,84.56,203.22,2.7,49.02,135.98,0.03,41.19,0.36,1.0
7.96,74.96,235.93,2.41,98.52,150.41,0.15,24.38,1.61,1.0
8.2,296.3,384.83,1.96,,269.42,1.91,22.01,0.11,1.0
7.41,270.47,404.57,2.35,39.39,267.96,0.38,42.46,0.21,1.0
9.38,29.96,185.26,2.33,,128.4,0.41,30.68,0.76,
8.06,215.23,295.13,2.33,15.55,241.68,1.09,24.01,0.77,1.0
7.21,483.2,728.45,2.99,52.02,467.99,0.9,45.74,0.66,1.0
6.75,393.52,645.51,1.24,36.61,413.23,0.09,10.73,0.98,
6.62,312.26,387.26,3.31,102.56,254.05,1.45,54.45,0.61,1.0
7.67,195.4,307.6,0.4,120.76,221.37,0.96,9.59,0.51,1.0
7.01,123.56,324.01,2.66,11.33,180.47,1.93,28.45,0.31,1.0
8.74,271.88,422.7,2.17,30.49,235.45,0.77,50.37,0.31,1.0
8.57,69.51,95.44,1.04,8.76,50.29,0.53,14.33,0.26,1.0
7.91,118.95,248.52,3.03,96.24,128.86,0.46,18.8,0.48,1.0
6.46,34.68,10.0,0.19,56.36,5.0,,6.6,0.26,1.0
6.86,144.52,379.84,3.63,51.29,256.95,0.04,28.4,0.08,1.0
8.4,307.19,429.44,4.26,62.5,261.32,0.14,74.25,0.06,
6.95,78.11,203.36,1.84,37.55,103.65,2.65,28.12,1.29,1.0
8.3,319.63,614.8,0.97,15.74,401.01,2.13,13.12,0.01,1.0
7.78,27.22,54.85,1.42,52.04,52.9,0.69,20.49,0.06,1.0
7.44,27.65,10.0,2.98,39.32,5.0,0.2,49.64,0.29,1.0
3.54,215.13,344.89,1.68,63.88,240.58,0.16,19.51,0.15,
7.32,268.52,509.42,,,347.47,0.3,,0.26,1.0
7.55,356.77,636.79,2.38,57.45,432.99,2.39,36.09,0.06,1.0
8.23,68.28,208.22,2.89,22.43,159.71,0.74,13.75,0.07,1.0
6.69,298.21,515.74,2.51,56.05,379.27,1.63,42.81,0.81,
7.19,229.13,292.3,2.67,86.2,182.87,0.71,46.88,0.71,1.0
7.44,159.07,265.47,3.6,27.75,174.75,0.94,57.74,0.06,1.0
7.93,329.01,476.73,1.79,97.87,301.55,0.94,29.8,0.55,1.0
6.67,331.05,430.46,3.72,,279.84,0.03,70.89,0.47,1.0
6.35,10.0,10.0,1.85,111.75,37.16,0.59,26.39,0.62,1.0
7.94,347.86,595.31,3.13,99.54,360.05,2.0,45.95,0.32,1.0
6.19,454.17,576.02,1.86,14.54,357.19,0.67,20.49,0.16,1.0
8.43,177.15,174.89,4.04,14.87,141.22,0.57,40.59,0.54,
7.28,143.88,379.16,2.65,,266.86,0.75,43.45,0.23,1.0
6.16,258.64,398.81,1.9,86.86,251.96,0.48,22.27,0.12,1.0
3.27,211.31,352.13,0.8,36.78,245.98,0.72,,0.26,
7.7,155.29,189.94,2.21,33.85,130.28,0.15,31.49,13.4,
6.97,62.16,165.68,1.18,5.09,137.69,3.44,15.83,0.32,1.0
7.42,134.95,294.89,2.44,122.48,193.17,0.03,33.46,0.18,1.0
7.99,286.92,534.55,2.66,11.09,367.97,0.66,40.39,0.89,1.0
7.24,216.64,408.72,3.04,50.97,318.51,0.24,29.15,1.07,1.0
6.65,176.29,225.88,2.54,58.64,158.78,0.06,47.14,0.28,1.0
7.16,213.54,454.34,2.08,34.05,296.31,1.05,34.69,0.23,
8.53,10.0,10.0,3.32,25.96,20.95,4.21,61.45,0.47,1.0
8.75,228.4,529.75,3.44,35.23,337.03,1.38,45.21,0.03,1.0
5.78,56.36,10.0,0.95,72.61,54.26,0.29,17.66,0.59,
8.27,200.06,227.51,3.76,36.12,151.48,0.68,36.89,11.95,
7.6,29.29,76.07,3.23,115.02,43.98,0.05,39.25,11.9,
8.14,10.0,41.06,1.15,18.92,9.98,0.76,2.63,0.1,1.0
6.96,341.96,532.17,0.12,80.16,367.85,0.1,3.56,0.01,1.0
5.99,197.6,206.46,3.2,,151.54,1.58,36.17,0.51,
7.87,242.01,369.3,2.21,18.92,230.1,0.06,27.87,0.16,1.0
4.54,139.49,290.62,1.54,17.35,200.43,0.01,22.28,0.31,
5.06,156.3,395.41,2.31,5.84,226.84,1.98,29.78,0.24,
6.35,133.46,315.36,3.19,61.34,208.69,2.86,33.78,0.1,1.0
7.88,29.7,43.4,,45.59,37.27,0.09,15.61,0.36,1.0
7.51,266.79,499.25,2.13,,358.66,0.33,32.2,0.31,1.0
8.03,130.5,201.25,2.06,129.82,115.4,1.35,46.56,0.49,1.0
7.94,10.0,10.0,3.5,57.04,5.0,0.78,41.28,0.15,1.0
7.06,75.72,214.38,2.83,50.05,121.44,2.98,37.82,0.12,1.0
7.34,301.24,600.15,2.82,102.4,363.37,0.49,42.31,0.84,1.0
6.99,360.14,470.04,1.56,89.55,332.26,,37.82,0.61,1.0
7.23,182.61,230.27,2.67,38.07,180.65,0.02,55.67,13.3,1.0
6.63,224.61,230.15,1.51,,156.0,0.83,17.53,0.07,1.0
7.71,168.4,235.67,1.89,72.58,177.61,1.39,20.22,0.13,1.0
8.26,407.71,715.35,2.57,11.49,467.66,1.56,37.7,0.43,1.0
6.75,292.0,376.39,2.09,99.57,242.75,2.42,42.43,0.97,1.0
8.43,229.95,386.01,2.32,18.95,244.24,0.26,35.25,1.11,1.0
7.49,314.68,506.06,3.31,31.93,322.73,1.34,52.03,0.89,1.0
7.59,206.51,347.76,1.64,,195.09,1.76,35.59,0.02,1.0
4.46,10.0,248.19,0.96,,166.61,1.81,23.88,0.86,
5.95,236.67,260.73,1.09,45.64,168.67,0.53,26.23,1.15,
7.52,195.96,285.68,0.88,41.91,200.6,0.98,19.35,0.03,1.0
8.03,192.02,292.56,3.61,30.96,192.03,0.8,67.63,0.27,1.0
6.86,264.23,445.53,2.65,132.12,286.34,0.91,27.66,0.38,1.0
5.41,194.4,310.39,3.07,74.15,184.33,0.33,68.55,11.23,
7.99,238.05,446.53,2.89,50.41,291.69,1.15,53.97,0.36,1.0
6.67,201.14,283.86,1.8,,199.27,1.24,25.42,1.09,1.0
7.42,124.08,315.73,3.63,83.03,182.36,0.22,65.55,8.75,
9.38,15.3,10.0,1.31,169.78,8.25,0.59,16.16,1.41,
6.41,318.04,483.27,4.01,42.48,318.78,0.55,64.93,0.33,
7.82,211.65,369.3,2.12,17.58,225.68,1.38,37.78,0.26,1.0
7.14,318.3,499.6,3.79,56.53,312.98,1.1,65.45,0.55,1.0
7.97,10.0,10.0,0.95,,11.11,0.65,9.67,0.27,1.0
8.41,382.31,717.67,1.57,68.48,443.82,1.06,32.36,0.02,1.0
7.09,175.09,272.08,0.4,110.01,183.85,0.3,1.54,0.64,1.0
8.3,346.91,521.64,3.04,23.16,321.16,0.26,52.94,0.16,1.0
9.18,10.0,92.02,2.25,24.45,81.07,0.27,33.62,0.03,
4.99,279.63,422.55,4.02,46.81,321.42,0.03,42.01,0.01,
8.03,26.43,89.32,1.52,29.95,40.84,1.17,15.37,1.34,1.0
6.93,95.51,175.25,3.34,,124.59,4.26,58.54,0.15,
7.42,342.71,682.81,2.08,34.59,429.29,0.37,28.16,0.3,1.0
7.26,114.54,261.86,1.91,26.52,191.03,2.66,40.73,1.5,1.0
8.04,254.4,343.49,1.71,104.66,197.96,0.93,13.53,0.32,1.0
4.75,286.05,474.01,1.15,96.21,317.72,0.25,24.28,0.04,
7.31,220.34,399.14,2.37,105.89,241.98,0.01,35.14,0.4,1.0
8.63,192.23,330.08,2.21,82.07,210.41,1.29,30.7,0.05,1.0
8.62,248.26,372.99,0.43,58.23,221.82,1.19,,0.05,1.0
8.08,490.43,780.68,,15.02,523.89,0.26,2.1,0.95,1.0
6.99,169.33,288.48,1.69,103.04,170.77,0.4,15.22,0.17,1.0
6.91,258.78,340.22,3.16,63.91,232.18,2.28,41.07,0.57,1.0
6.75,354.6,510.13,2.22,0.08,324.7,0.17,31.92,0.36,1.0
8.16,333.33,521.11,0.7,13.45,336.43,1.8,6.8,0.13,1.0
6.43,325.17,537.41,0.23,,352.27,0.19,13.67,0.36,1.0
7.94,289.51,427.75,3.15,,262.8,0.66,21.42,0.04,1.0
6.54,58.55,71.4,0.35,65.54,50.62,0.69,3.42,0.21,1.0
8.06,429.05,626.69,2.76,0.48,437.95,0.64,37.76,0.37,1.0
7.41,87.42,70.73,2.57,19.76,30.41,0.34,38.45,14.96,
8.47,165.4,360.53,3.63,51.55,257.78,0.29,49.08,0.54,1.0
8.31,35.19,149.14,1.37,42.48,126.91,1.32,30.8,0.03,1.0
8.55,137.24,287.17,2.94,21.46,170.34,0.32,41.51,0.33,1.0
8.57,268.26,365.75,3.4,110.76,208.64,0.94,52.33,0.63,1.0
7.51,139.75,364.27,0.66,,242.82,1.87,18.87,0.28,1.0
6.47,250.37,384.38,2.13,,238.9,1.81,32.52,1.04,1.0
6.56,391.77,622.74,1.96,68.31,442.15,0.18,16.7,0.5,1.0
5.73,292.56,390.71,0.94,24.95,254.66,1.06,9.78,16.86,
6.53,159.72,251.17,2.26,23.39,147.22,0.92,32.72,0.17,1.0
7.46,228.53,492.82,0.83,6.84,297.39,0.33,,12.18,
6.95,274.77,537.89,2.38,63.53,371.43,0.5,28.61,0.47,1.0
7.26,10.0,54.48,4.17,59.03,23.99,0.34,61.92,0.68,
7.79,224.79,419.48,1.8,54.76,273.54,0.77,47.06,1.16,1.0
7.16,255.0,440.23,1.91,26.68,305.27,1.63,32.29,0.4,1.0
6.5,86.02,240.49,3.42,19.96,146.63,2.1,52.83,0.99,1.0
7.36,418.62,575.14,3.26,43.48,372.92,1.28,65.8,0.39,1.0
6.68,95.73,269.99,1.38,88.66,175.16,0.66,26.61,0.46,1.0
3.15,262.37,325.12,2.69,112.73,224.99,3.17,47.61,14.74,
8.47,218.49,265.39,,94.45,184.32,0.83,,0.08,1.0
7.18,226.78,303.12,1.0,70.23,192.62,0.65,2.28,0.4,1.0
8.82,13.76,80.74,3.07,89.29,53.76,1.94,48.66,1.9,1.0
8.55,24.32,11.99,1.49,2.72,5.0,0.2,40.57,0.77,1.0
6.94,307.47,618.9,1.8,21.45,372.73,0.17,42.13,13.03,
6.51,123.91,130.61,1.08,70.98,90.05,1.53,22.71,0.52,1.0
7.36,57.33,101.72,0.92,45.27,103.96,2.04,6.86,0.21,1.0
8.32,10.0,10.0,,63.5,5.0,0.08,,0.09,1.0
7.01,42.14,172.21,1.64,89.18,96.47,1.44,16.33,5.88,
8.13,10.0,35.38,2.47,82.96,5.58,0.55,39.16,,1.0
8.37,325.11,628.4,2.25,6.36,422.95,1.22,28.99,0.56,1.0
6.78,356.82,501.96,1.17,50.47,335.25,0.14,27.54,0.84,1.0
6.86,77.28,162.37,0.57,13.17,102.37,3.61,,0.16,1.0
7.97,441.83,750.49,1.63,18.91,469.46,2.13,23.1,0.05,1.0
7.52,330.59,496.35,0.67,,324.48,0.52,2.4,0.2,1.0
6.85,231.3,235.03,1.23,55.34,121.48,2.24,28.4,11.35,
7.12,72.25,10.0,2.13,,9.37,2.25,37.36,0.3,1.0
7.34,406.3,758.19,1.13,65.77,510.25,0.62,8.62,0.15,1.0
6.15,10.0,22.09,3.29,104.34,5.0,2.94,57.84,0.21,1.0
8.01,123.98,10.0,0.95,71.21,5.0,3.77,,1.19,1.0
7.02,416.16,504.51,1.4,52.08,359.52,0.24,3.06,0.2,1.0
5.17,482.19,787.95,2.85,111.38,499.93,0.07,33.89,5.15,
7.38,282.59,576.85,2.69,63.1,397.67,0.4,20.53,0.49,1.0
6.81,295.83,412.78,2.52,15.49,265.23,0.67,36.62,14.93,
8.75,245.97,418.95,1.36,55.0,269.08,0.1,19.62,0.85,1.0
6.93,276.76,470.68,2.58,128.39,314.71,0.15,34.71,0.45,1.0
6.52,315.79,451.79,2.79,6.29,275.98,3.56,47.27,,1.0
7.81,230.46,356.24,2.44,,234.2,1.34,29.39,0.04,1.0
6.87,133.21,320.84,1.97,74.6,200.92,2.08,16.54,0.7,1.0
6.78,156.25,287.48,2.58,41.04,160.45,3.55,30.68,0.3,1.0
7.81,122.58,149.21,1.92,28.72,103.73,0.48,16.66,0.26,1.0
6.57,171.83,243.86,2.4,,153.25,1.16,29.94,0.08,1.0
6.23,19.1,10.0,2.07,,5.0,0.2,37.08,0.09,1.0
8.78,214.87,280.33,0.49,,158.01,0.8,,12.62,
7.86,43.28,102.28,1.42,114.6,98.31,0.24,17.85,0.88,1.0
7.19,56.5,79.28,4.08,49.65,69.07,0.17,70.78,0.41,
7.4,32.81,335.98,0.06,,237.67,0.1,11.66,0.17,1.0
7.8,324.56,578.4,3.55,97.36,369.85,0.87,46.46,1.35,1.0
8.18,328.39,483.66,2.63,99.39,279.8,2.99,61.52,0.49,1.0
6.8,10.0,10.0,2.03,99.17,45.56,0.13,20.0,0.8,1.0
7.69,37.93,102.07,0.32,33.1,65.13,0.7,2.51,,1.0
6.99,240.82,488.15,2.0,39.25,302.32,1.16,18.28,6.9,
7.25,112.27,103.5,1.25,55.51,75.61,0.68,23.14,1.02,1.0
7.53,180.47,255.07,3.19,106.04,189.14,2.43,75.85,0.21,1.0
7.39,287.28,410.01,1.33,27.8,266.05,0.18,38.44,0.65,1.0
7.99,10.0,106.33,1.72,19.82,94.69,0.02,34.33,0.54,1.0
7.79,184.62,321.08,2.25,77.83,230.36,0.48,27.62,0.08,1.0
6.19,10.0,33.19,1.36,98.37,5.0,0.81,18.65,0.75,1.0
6.31,93.81,179.73,2.96,47.89,103.35,0.29,55.54,0.06,1.0
7.1,187.57,363.96,1.7,76.82,255.72,0.18,33.06,0.65,1.0
8.86,10.0,10.0,0.12,54.5,5.0,1.63,2.62,2.35,1.0
6.72,275.34,388.09,2.15,39.95,249.27,0.21,33.68,1.58,1.0
7.23,82.0,296.07,2.81,16.83,163.83,0.58,52.67,0.81,1.0
6.97,335.16,410.5,3.44,3.85,257.29,3.09,64.6,0.38,1.0
6.96,231.06,344.78,2.55,25.41,218.13,0.95,23.28,0.56,1.0
7.54,341.58,572.83,3.15,10.96,365.17,0.69,49.57,13.13,1.0
3.27,240.37,325.04,2.49,61.34,200.23,0.45,43.14,,
7.76,55.88,214.12,1.04,98.7,117.23,0.73,10.29,0.05,1.0
6.76,161.44,324.46,1.22,58.16,256.74,1.33,31.07,18.48,
9.6,239.14,408.66,,13.17,302.98,1.73,,,
7.46,254.14,309.77,1.78,84.22,178.11,1.05,39.82,10.11,
6.94,182.55,308.12,2.65,61.88,231.92,1.56,36.11,0.34,1.0
8.53,118.26,159.6,0.42,69.79,95.75,0.09,8.93,0.15,1.0
7.02,70.97,167.42,3.29,29.23,111.41,0.01,51.78,0.25,1.0
8.73,36.03,19.48,1.9,95.34,11.4,1.33,45.08,0.95,1.0
6.7,473.81,649.92,1.1,95.13,409.25,0.3,23.96,1.31,1.0
8.54,80.51,51.23,0.42,42.64,52.97,2.1,1.68,0.06,1.0
7.56,92.78,161.42,3.66,78.74,107.44,0.77,52.19,0.75,1.0
8.43,127.57,156.32,3.18,94.06,92.08,0.65,44.97,0.43,1.0
8.92,316.27,478.98,1.6,31.39,285.25,1.48,24.13,0.44,1.0
6.49,169.94,241.01,2.93,46.75,138.78,1.35,34.49,0.76,1.0
8.42,385.33,549.55,1.79,53.19,324.38,1.22,26.04,0.13,1.0
6.27,154.41,165.3,1.4,6.09,107.69,1.17,34.61,0.38,1.0
6.56,207.12,355.8,1.35,67.67,207.34,0.72,33.44,0.19,1.0
6.76,111.85,132.93,1.77,90.9,81.09,2.61,10.87,0.05,1.0
7.8,418.26,729.03,1.6,44.24,501.27,2.21,6.79,0.06,1.0
7.43,10.0,62.48,2.06,63.59,64.6,0.4,24.99,0.07,1.0
7.27,203.7,361.96,3.61,105.94,234.63,1.63,36.33,0.48,1.0
7.52,252.24,426.76,4.28,33.79,275.65,2.22,51.54,19.74,
7.87,146.58,382.76,0.8,64.41,286.39,0.96,15.47,0.42,1.0
7.93,200.78,262.94,2.46,27.21,181.33,0.81,36.51,0.44,1.0
8.28,26.06,274.04,2.21,26.12,171.57,1.11,15.94,1.17,1.0
8.86,321.0,308.76,2.53,63.68,172.18,0.18,49.66,0.49,1.0
7.38,237.45,270.6,1.55,59.65,183.77,0.09,19.03,2.12,1.0
4.96,282.62,492.78,2.54,72.2,336.89,1.72,32.98,0.02,
7.89,445.73,742.1,0.62,53.05,469.73,0.85,19.47,0.61,1.0
6.48,128.25,188.5,5.38,68.61,128.35,0.13,84.84,0.01,
6.86,10.0,26.04,2.29,116.62,9.65,0.54,33.93,0.65,1.0
8.2,179.04,282.34,2.73,92.4,179.84,0.35,36.0,0.24,1.0
7.3,482.37,815.94,0.88,63.54,480.61,2.08,18.92,0.47,1.0
6.43,78.85,139.27,1.3,70.2,86.09,0.71,15.24,0.19,1.0
6.21,385.77,627.82,0.53,38.04,427.47,0.86,5.69,0.09,1.0
7.44,315.65,635.54,3.46,43.63,400.47,0.27,40.08,0.64,1.0
8.31,115.55,189.28,0.89,69.7,124.08,1.6,24.78,1.17,1.0
8.3,256.45,413.8,1.81,53.51,253.85,2.66,42.69,0.1,1.0
7.49,381.85,625.68,1.86,81.72,413.9,1.57,29.95,1.27,1.0
9.01,123.71,224.17,2.47,100.68,141.38,0.68,32.24,0.08,
7.32,212.46,259.28,0.71,45.93,149.75,1.8,19.97,0.67,1.0
7.29,92.52,183.66,2.86,,146.03,0.21,48.78,1.6,1.0
5.35,69.6,97.05,3.24,131.37,81.66,0.12,44.24,0.08,
7.04,166.95,170.14,1.34,23.9,98.5,0.58,31.61,0.29,1.0
8.08,29.16,55.21,1.96,57.81,45.84,0.2,25.21,0.21,1.0
8.65,194.81,306.82,2.63,79.1,210.18,0.3,26.54,0.25,1.0
6.74,82.78,146.01,2.26,106.36,107.75,0.88,33.18,19.39,
7.77,269.92,346.76,1.0,122.24,191.51,0.52,25.85,0.54,1.0
8.24,10.0,10.0,2.7,35.45,26.63,2.01,41.55,1.73,1.0
7.41,283.87,366.18,3.51,97.59,226.62,0.26,40.96,0.1,1.0
5.57,274.84,466.71,3.51,57.92,296.2,5.74,48.61,0.39,
7.6,10.0,10.0,2.58,159.73,59.26,0.45,50.59,16.78,
8.01,258.86,374.81,2.77,94.02,249.66,0.72,44.23,1.26,1.0
6.64,312.09,545.53,1.61,42.9,346.87,0.14,23.97,0.01,1.0
7.2,65.87,58.07,1.08,18.28,5.0,0.87,14.94,2.26,1.0
6.48,244.24,634.51,1.93,,440.23,3.25,39.77,0.33,1.0
5.34,230.54,383.8,4.26,76.99,222.57,1.38,74.11,0.49,
8.22,72.42,159.0,1.47,90.34,83.28,0.28,8.02,0.22,1.0
7.4,120.14,288.85,2.43,79.82,181.12,0.58,45.92,17.21,
8.68,219.34,411.67,2.38,,295.91,0.55,40.83,0.41,1.0
3.5,160.44,315.2,1.63,,220.35,0.1,40.32,0.54,
7.12,242.25,407.75,3.48,69.23,261.88,2.17,51.56,0.52,1.0
7.33,10.0,115.87,3.59,121.42,81.48,0.48,65.18,0.23,1.0
7.85,216.14,333.87,4.67,47.78,205.01,0.68,74.7,11.16,
8.17,78.66,17.26,1.2,93.66,14.01,0.34,6.88,0.82,1.0
7.66,180.7,277.75,2.41,8.62,182.01,0.17,46.31,0.17,1.0
8.28,111.98,119.22,2.09,58.29,96.87,2.32,39.42,0.95,1.0
3.07,146.46,152.89,1.31,39.01,118.72,0.04,13.2,0.47,
6.6,390.16,547.22,1.33,97.5,365.57,0.51,22.9,0.22,1.0
7.35,404.46,518.26,2.17,28.41,329.62,1.31,53.58,0.45,1.0
7.56,228.14,421.83,1.53,117.08,289.02,0.37,18.17,0.52,1.0
6.44,13.0,81.54,1.02,37.69,51.16,0.59,22.57,0.61,1.0
6.33,181.2,236.72,2.12,7.21,132.23,0.83,20.9,0.86,1.0
7.76,360.99,542.62,0.89,8.55,344.64,5.31,7.7,0.09,1.0
7.07,235.79,328.34,1.53,25.1,215.11,1.42,31.11,1.44,1.0
7.27,552.78,763.87,2.36,64.82,514.72,3.41,37.99,0.26,1.0
7.11,227.77,378.66,1.86,25.6,242.46,1.18,25.96,0.98,1.0
8.62,224.35,338.41,1.74,17.18,195.78,0.31,43.16,0.12,1.0
8.41,93.89,238.18,3.81,85.59,155.95,0.34,47.91,0.01,1.0
6.41,302.79,326.71,3.4,,214.63,1.73,49.58,0.43,1.0
6.97,144.88,269.51,2.08,32.8,178.9,0.56,36.15,0.2,1.0
8.08,249.56,441.62,0.99,,305.45,0.46,6.07,2.08,1.0
7.88,277.47,491.34,2.81,15.26,339.75,2.9,47.25,0.06,1.0
7.37,53.44,142.8,4.53,59.75,80.94,0.01,78.64,0.02,
6.49,10.0,33.75,3.36,41.79,9.62,0.74,49.33,0.02,1.0
5.28,10.0,10.0,0.7,38.18,5.0,1.49,3.65,0.12,
6.99,172.67,401.6,1.8,97.58,275.02,1.33,23.91,0.43,1.0
7.62,10.0,79.33,1.27,49.46,80.54,0.46,,0.35,1.0
8.76,103.45,10.0,1.07,122.24,5.0,0.77,26.17,0.22,1.0
6.85,263.41,377.72,3.14,78.49,240.69,0.01,49.67,0.05,1.0
6.58,525.46,798.6,3.11,11.33,548.43,0.77,44.95,11.04,
7.31,238.13,298.79,3.78,127.36,204.32,0.89,39.96,0.1,1.0
8.23,372.33,467.7,2.68,61.12,312.73,2.08,51.27,0.68,1.0
6.24,101.25,316.37,1.96,124.87,181.82,0.24,24.95,0.76,1.0
8.56,106.64,280.22,2.19,39.36,195.72,1.74,38.47,0.75,1.0
7.26,250.1,483.82,1.09,60.89,295.9,1.27,16.3,1.74,1.0
6.81,121.68,241.95,3.37,67.28,134.58,1.1,34.4,1.08,1.0
5.23,197.06,353.48,1.26,43.28,222.83,0.5,31.57,0.34,
7.97,196.25,364.34,1.59,100.88,225.1,0.46,34.66,19.32,
3.55,110.79,166.38,1.7,127.3,103.72,1.21,33.08,10.49,
7.54,300.81,498.41,,,295.15,4.63,3.15,0.47,1.0
